time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,home_manager,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_blocked_scoring_attempt,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_goal_assist,statistics_big_chance_created,statistics_total_offside,statistics_hit_woodwork,statistics_big_chance_missed,statistics_punches,statistics_clearance_off_line,statistics_penalty_conceded,statistics_good_high_claim,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_penalty_won,statistics_error_lead_to_a_goal,statistics_penalty_miss,statistics_own_goals,statistics_penalty_save,statistics_penalty_shootout_save,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_error_lead_to_a_shot,statistics_last_man_tackle,statistics_expected_goals,statistics_expected_assists
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Aylon,9,F,FALSE,NA,21,14,1,1,8,1,NA,NA,NA,69,41,7.8,11,2,NA,3,8,4,4,1,2,1,4,3,NA,1,NA,1,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Rafael Elias,21,F,TRUE,NA,5,4,NA,NA,2,1,1,NA,NA,21,11,7,2,NA,NA,NA,3,2,1,NA,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,João Victor,20,F,TRUE,NA,2,2,NA,NA,NA,NA,NA,NA,NA,11,2,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Elacio Cordoba,13,D,TRUE,NA,1,NA,1,NA,NA,NA,NA,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Nathan,18,M,TRUE,NA,2,1,1,NA,1,NA,NA,NA,NA,3,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Pegorari,12,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Bernardo Schappo,16,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Rafael Pereira,15,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Léo Santos,14,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Kaique Clemente,22,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Vitor André,19,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,1,home,Ituano,Novorizontino,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,0,Mazola Júnior,Eduardo Baptista,Matheus Aluisio,17,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Pegorari,1,G,FALSE,NA,28,15,24,11,1,5,NA,2,2,90,38,7.4,13,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Guilherme Pacheco,2,D,FALSE,NA,16,13,3,1,3,2,2,NA,NA,90,40,7.2,8,2,1,1,2,NA,NA,2,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Rafael Pereira,3,D,FALSE,NA,4,4,2,2,1,2,1,NA,NA,90,11,7.1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Cleberson,4,D,FALSE,NA,10,6,7,4,2,6,NA,NA,NA,90,22,7.3,4,NA,NA,2,2,NA,NA,3,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Roberto,6,D,FALSE,NA,14,8,NA,NA,2,4,1,NA,NA,90,33,6.9,9,2,NA,1,2,NA,NA,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Jorge Roa Jiménez,5,M,FALSE,NA,17,12,4,1,2,4,1,NA,NA,90,29,6.8,6,NA,NA,1,3,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Lucas Siqueira,8,M,FALSE,NA,17,10,1,1,3,NA,1,NA,NA,90,23,6.6,8,NA,NA,2,6,NA,NA,1,3,1,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Calyson Rosa,11,M,FALSE,NA,9,7,1,1,3,NA,1,NA,NA,61,22,6.9,6,NA,NA,NA,3,1,1,2,1,NA,1,NA,NA,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Igor Henrique,7,M,FALSE,NA,11,10,NA,NA,4,NA,1,NA,NA,81,26,6.4,5,NA,NA,2,8,2,NA,NA,2,NA,1,NA,2,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Aylon,9,M,FALSE,NA,10,5,2,NA,4,1,2,NA,NA,61,25,6.2,12,NA,NA,1,6,NA,NA,NA,1,NA,1,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Gerson Magrão,10,F,FALSE,TRUE,13,11,2,1,1,NA,NA,NA,NA,61,25,6.6,5,6,3,1,1,NA,NA,2,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,João Victor,18,F,TRUE,NA,6,1,NA,NA,2,NA,NA,NA,NA,29,13,6,6,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Neto Berola,16,F,TRUE,NA,2,2,NA,NA,1,NA,NA,NA,NA,29,5,6.6,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Rafael Elias,19,F,TRUE,NA,5,2,1,NA,2,1,1,NA,NA,29,8,7,3,NA,NA,1,3,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Bernardo Schappo,15,D,TRUE,NA,1,NA,1,NA,NA,NA,NA,NA,NA,9,1,6.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Filipe,12,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Léo Santos,14,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Elacio Cordoba,13,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Vitor André,20,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Nathan,17,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,2,away,São Paulo,Ituano,Estádio do MorumBIS,Paulista Série A1,0,0,Luis Zubeldia,Mazola Júnior,Matheus Aluisio,21,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,3,home,Ituano,Inter de Limeira,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,1,Mazola Júnior,Márcio Fernandes,Pegorari,1,G,FALSE,NA,15,8,11,4,1,1,NA,1,1,90,19,6.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,3,home,Ituano,Inter de Limeira,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,1,Mazola Júnior,Márcio Fernandes,Guilherme Pacheco,2,D,FALSE,NA,30,24,5,1,1,3,NA,NA,NA,90,48,6.2,13,5,1,1,5,3,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,3,home,Ituano,Inter de Limeira,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,1,Mazola Júnior,Márcio Fernandes,Rafael Pereira,3,D,FALSE,NA,25,20,6,2,1,3,NA,NA,NA,90,32,6.6,6,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,3,home,Ituano,Inter de Limeira,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,1,Mazola Júnior,Márcio Fernandes,Cleberson,4,D,FALSE,NA,32,28,10,7,2,3,1,NA,NA,90,40,6.9,4,NA,NA,2,3,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,3,home,Ituano,Inter de Limeira,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,1,Mazola Júnior,Márcio Fernandes,Roberto,6,D,FALSE,NA,22,17,3,1,4,1,1,NA,NA,84,44,6.4,12,2,NA,NA,3,3,1,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,3,home,Ituano,Inter de Limeira,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,1,Mazola Júnior,Márcio Fernandes,Kaio Mendes,8,M,FALSE,NA,30,23,2,NA,9,1,2,NA,NA,90,60,6.9,13,1,NA,2,11,4,1,2,6,1,1,NA,5,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,3,home,Ituano,Inter de Limeira,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,1,Mazola Júnior,Márcio Fernandes,Jorge Roa Jiménez,5,M,FALSE,NA,36,28,NA,NA,6,1,NA,NA,NA,90,51,6.8,12,1,1,1,4,2,1,1,1,1,3,1,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ituano,2022,3,home,Ituano,Inter de Limeira,Estádio Municipal Dr. Novelli Junior,Paulista Série A1,2,1,Mazola Júnior,Márcio Fernandes,Calyson Rosa,7,M,FALSE,NA,17,14,NA,NA,3,NA,NA,NA,NA,45,24,6.7,7,NA,NA,NA,4,1,1,NA,2,1,2,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
